"Row","Time Diff","*Lambda","*N","Date","User ID","*DorkType"
1,665201,33260.05,20,"2002-05-26",13,"D"
2,43387,21693.5,2,"1999-09-03",15,"C"
3,3819507,19002.5223880597,201,"2004-02-23",20,"E"
4,26702,13351,2,"1999-03-10",53,"D"
5,12224482,61122.41,200,"2005-04-23",58,"D"
6,8704655,43523.275,200,"2004-12-20",61,"D"
7,173735,86867.5,2,"2001-01-21",87,"C"
8,13801688,69008.44,200,"2005-06-06",190,"E"
9,102738,51369,2,"2000-07-14",238,"D"
10,82098,41049,2,"2000-04-23",260,"D"
11,632853,158213.25,4,"2002-05-08",346,"D"
12,9262963,46084.3930348259,201,"2005-01-12",422,"E"
13,602003,200667.666666667,3,"2002-04-20",506,"E"
14,3836380,18991.9801980198,202,"2004-02-25",528,"E"
15,802004,3970.31683168317,202,"2002-08-03",572,"D"
16,205060,102530,2,"2001-03-23",586,"D"
17,511540,255770,2,"2002-02-19",633,"E"
18,13175985,65879.925,200,"2005-05-20",637,"D"
19,383741,191870.5,2,"2001-11-07",649,"D"
20,10444949,52224.745,200,"2005-02-24",746,"D"
21,450058,150019.333333333,3,"2002-01-04",760,"C"
22,82459,41229.5,2,"2000-04-24",765,"D"
23,534796,133699,4,"2002-03-08",767,"D"
24,474213,237106.5,2,"2002-01-23",780,"E"
25,436011,145337,3,"2001-12-23",861,"D"
26,592823,39521.5333333333,15,"2002-04-14",874,"C"
27,276173,92057.6666666667,3,"2001-07-10",875,"D"
28,116605,58302.5,2,"2000-08-29",882,"D"
29,3388410,16942.05,200,"2004-01-11",885,"D"
30,591840,118368,5,"2002-04-14",897,"C"
31,379002,126334,3,"2001-11-02",916,"E"
32,168760,84380,2,"2001-01-11",926,"D"
33,496895,248447.5,2,"2002-02-09",929,"D"
34,835208,208802,4,"2002-08-17",977,"D"
35,67499468,2934759.47826087,23,"2007-01-07",981,"E"
36,1640398,8120.78217821782,202,"2003-04-21",985,"D"
37,1801,900.5,2,"1996-06-29",997,"D"
38,423988,211994,2,"2001-12-13",1070,"D"
39,225041,112520.5,2,"2001-04-26",1084,"D"
40,431786,143928.666666667,3,"2001-12-20",1097,"D"
41,700848,140169.6,5,"2002-06-14",1153,"E"
42,1022339,5086.26368159204,201,"2002-10-30",1183,"D"
43,3753325,18580.8168316832,202,"2004-02-17",1186,"D"
44,804166,3941.99019607843,204,"2002-08-04",1192,"D"
45,30845,15422.5,2,"1999-05-01",1265,"C"
46,90681,30227,3,"2000-05-29",1298,"D"
47,55027342,387516.492957746,142,"2006-10-24",1307,"E"
48,27785,13892.5,2,"1999-03-24",1318,"D"
49,374623,187311.5,2,"2001-10-29",1378,"D"
50,13780445,68902.225,200,"2005-06-06",1379,"E"
51,5888701,29443.505,200,"2004-07-30",1456,"D"
52,425065,106266.25,4,"2001-12-14",1497,"C"
53,506409,84401.5,6,"2002-02-16",1530,"D"
54,3643821,18128.4626865672,201,"2004-02-06",1568,"D"
55,203224,101612,2,"2001-03-20",1585,"D"
56,3167830,15760.3482587065,201,"2003-12-17",1593,"D"
57,632615,316307.5,2,"2002-05-08",1612,"D"
58,1996767,9934.16417910448,201,"2003-07-02",1624,"D"
59,20977111,104885.555,200,"2005-11-06",1706,"D"
60,153629,76814.5,2,"2000-12-07",1724,"C"
61,507730,253865,2,"2002-02-17",1888,"E"
62,608424,202808,3,"2002-04-24",1942,"E"
63,466050,233025,2,"2002-01-16",1952,"D"
64,472287,236143.5,2,"2002-01-21",1966,"D"
65,502803,251401.5,2,"2002-02-13",2053,"D"
66,608886,202962,3,"2002-04-24",2066,"D"
67,546669,136667.25,4,"2002-03-16",2079,"D"
68,779037,389518.5,2,"2002-07-23",2092,"D"
69,514364,102872.8,5,"2002-02-22",2172,"D"
70,3313077,16565.385,200,"2004-01-02",2235,"E"
71,1438,719,2,"1996-04-08",2253,"D"
72,214002,53500.5,4,"2001-04-07",2352,"D"
73,253251,63312.75,4,"2001-06-08",2391,"D"
74,830288,415144,2,"2002-08-15",2438,"E"
75,172237,86118.5,2,"2001-01-18",2480,"D"
76,127763,42587.6666666667,3,"2000-10-01",2574,"D"
77,249441,124720.5,2,"2001-06-02",2606,"D"
78,703665,100523.571428571,7,"2002-06-16",2623,"E"
79,66128,33064,2,"2000-02-04",2629,"D"
80,66898977,4459931.8,15,"2007-01-03",2653,"E"
81,350049,175024.5,2,"2001-10-04",2654,"D"
82,7442,2480.66666666667,3,"1997-11-28",2666,"C"
83,265392,132696,2,"2001-06-25",2681,"D"
84,241496,40249.3333333333,6,"2001-05-22",2691,"D"
85,282824,141412,2,"2001-07-18",2781,"D"
86,3993795,19771.2623762376,202,"2004-03-11",2819,"D"
87,647905,323952.5,2,"2002-05-17",2834,"C"
88,28403,14201.5,2,"1999-04-01",2840,"C"
89,11273801,56088.5621890547,201,"2005-03-24",2873,"D"
90,1932922,9616.52736318408,201,"2003-06-20",2874,"D"
91,95143,47571.5,2,"2000-06-16",2886,"D"
92,685722,76191.3333333333,9,"2002-06-06",2900,"D"
93,405086,135028.666666667,3,"2001-11-26",2916,"D"
94,309442,51573.6666666667,6,"2001-08-20",2922,"D"
95,294598,98199.3333333333,3,"2001-08-02",2923,"D"
96,682062,113677,6,"2002-06-05",2985,"D"
97,420987,38271.5454545455,11,"2001-12-10",2986,"D"
98,164319,82159.5,2,"2001-01-01",3024,"E"
99,469168,46916.8,10,"2002-01-19",3065,"C"
100,5324016,26487.6417910448,201,"2004-06-24",3068,"D"
101,179613,59871,3,"2001-02-02",3121,"D"
102,353516,88379,4,"2001-10-08",3124,"D"
103,499627,166542.333333333,3,"2002-02-11",3146,"E"
104,16966632,108760.461538462,156,"2005-08-21",3219,"E"
105,303474,151737,2,"2001-08-13",3288,"E"
106,211779,52944.75,4,"2001-04-04",3300,"D"
107,120917,60458.5,2,"2000-09-11",3302,"D"
108,552776,276388,2,"2002-03-20",3321,"D"
