"X","age","count","returns","sum_next_use_age","*pr","*days_till_next_use","date","month"
1,0,3981826,2691060,20307788,0.675835659318112,7.54638989840435,2011-08-11,"August"
0,1,1077931,881893,5370510,0.818134927003677,5.08975238492652,2008-01-12,"January"
1,2,754588,630874,4438047,0.836050931104126,5.03475971430111,2007-01-20,"January"
0,3,618821,522495,4232711,0.844339477813455,5.1009598177973,2006-07-06,"July"
1,4,540104,457644,4189292,0.84732570023551,5.1540411324086,2006-02-20,"February"
0,5,488949,415099,4235073,0.84896175265723,5.20256131669794,2005-11-13,"November"
1,6,461134,392090,4435450,0.850273456305542,5.3123262516259,2005-09-15,"September"
0,7,445619,378434,4733274,0.849232191625582,5.50752839332618,2005-08-12,"August"
1,8,402367,342834,4622622,0.852043035338385,5.48355764014071,2005-05-02,"May"
0,9,370850,316742,4596104,0.854097343939598,5.51056064557274,2005-02-09,"February"
1,10,348147,297941,4601008,0.855790801012216,5.44268160474725,2004-12-08,"December"
0,11,331416,284283,4686332,0.857782967629807,5.48474231663518,2004-10-20,"October"
1,12,320375,274699,4804791,0.857429574717128,5.49111208996028,2004-09-16,"September"
0,13,314763,269446,5003249,0.85602818628619,5.56865197479272,2004-08-29,"August"
1,14,315849,269502,5317098,0.853262160082824,5.72934523677004,2004-09-02,"September"
0,15,291478,248981,5157368,0.854201689321321,5.71390186399766,2004-06-13,"June"
1,16,273592,233949,5059531,0.855101757361326,5.62664084907394,2004-04-11,"April"
0,17,261273,223646,5062535,0.855985884496293,5.63637623744668,2004-02-25,"February"
1,18,251184,215417,5092575,0.857606376202306,5.64054368968094,2004-01-16,"January"
0,19,244536,209364,5167766,0.856168416920208,5.68316424982327,2003-12-21,"December"
1,20,243009,207700,5351734,0.854700854700855,5.76665382763601,2003-12-14,"December"
0,21,245022,208445,5611246,0.850719527226127,5.91955192017079,2003-12-23,"December"
1,22,227974,193874,5410108,0.850421539298341,5.90527868615699,2003-10-11,"October"
0,23,215335,183357,5292837,0.851496505445004,5.866293623914,2003-08-15,"August"
1,24,205594,174663,5221837,0.849553002519529,5.89664096002015,2003-06-30,"June"
0,25,197860,168246,5200881,0.850328515111695,5.91236047216576,2003-05-23,"May"
1,26,191802,163360,5217168,0.851711660983723,5.93663075416259,2003-04-22,"April"
0,27,190922,162773,5363990,0.852562826704099,5.95380683528595,2003-04-17,"April"
1,28,193657,164901,5641555,0.85151066060096,6.21176948593398,2003-05-01,"May"
0,29,179258,152743,5373390,0.852084704727265,6.17928808521503,2003-02-13,"February"
1,30,168637,143686,5189895,0.85204314592883,6.11969850924933,2002-12-14,"December"
0,31,161736,138103,5137167,0.853879161102043,6.19808403872472,2002-11-02,"November"
1,32,156297,133275,5085068,0.85270350678516,6.15470268242356,2002-09-29,"September"
0,33,154000,131599,5152908,0.854538961038961,6.15613340526904,2002-09-14,"September"
1,34,153732,131090,5269277,0.852717716545677,6.19587306430697,2002-09-12,"September"
0,35,156542,132900,5494566,0.848973438438247,6.34361173814899,2002-10-01,"October"
1,36,146939,124866,5279187,0.849781201723164,6.27881889385421,2002-07-29,"July"
0,37,139729,118392,5117718,0.847297268283606,6.22689033042773,2002-06-09,"June"
1,38,133379,113009,4986975,0.847277307522174,6.12900742418746,2002-04-23,"April"
0,39,129468,110036,4968528,0.849908857787252,6.1536588025737,2002-03-25,"March"
1,40,127729,108254,5001671,0.847528752280218,6.20310565891329,2002-03-11,"March"
0,41,126960,107483,5074177,0.84658947700063,6.20911213866379,2002-03-05,"March"
1,42,128544,108026,5222415,0.840381503609659,6.34405606057801,2002-03-18,"March"
0,43,121187,101615,5013967,0.838497528612805,6.3427840377897,2002-01-18,"January"
1,44,115283,96562,4855956,0.83760832039416,6.28847786914107,2001-11-29,"November"
0,45,111303,93528,4796225,0.840300800517506,6.28116713711402,2001-10-25,"October"
1,46,107284,90599,4738029,0.844478207374818,6.29670305411759,2001-09-18,"September"
0,47,105088,89345,4759925,0.850192219853837,6.27578487884045,2001-08-28,"August"
